OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
ORD20000,2023-01-0,C72649,Monitor,5,570.62,928,Debit Card,Shipped,TRK37947,7,SAVE10,Instagram,2853.1
ORD20000,2024-08-2,C75739,Phone,2,151.35,823,Online,Shipped,TRK91186,3,SAVE10,Referral,302.7
ORD20000,2024-02-2,C81728,Tablet,5,550.68,512,Credit Car ,Cancelled,TRK42903,8,FREESHIP,Email,2753.4
ORD20000,2023-10-1,C33540,Chair,1,273.19,275,Debit Card,Returned,TRK62788,5,SAVE10,Facebook,273.19
ORD20000,2025-05-0,C81840,Printer,4,626.01,668,Online,Delivered,TRK29241,8,SAVE10,Email,2504.04
ORD20000,2023-10-2,C37249,Phone,2,245.86,934,Credit Car ,Shipped,TRK72976,4,SAVE10,Instagram,491.72
ORD20000,2025-06-1,C83492,Laptop,1,664.42,986,Gift Card,Returned,TRK96417,6,SAVE10,Facebook,664.42
ORD20000,2023-05-1,C41460,Monitor,5,149.55,706,Cash,Shipped,TRK78809,9,FREESHIP,Facebook,747.75
ORD20000,2025-04-0,C26817,Phone,2,134.28,904,Gift Card,Cancelled,TRK61042,2,,Email,268.56
ORD20000,2023-11-2,C31946,Desk,4,509.38,102,Credit Car ,Shipped,TRK33478,6,SAVE10,Google,2037.52
ORD2000,2023-12-2,C43443,Tablet,5,625.97,333,Credit Car ,Returned,TRK98859,9,WINTER15,Instagram,3129.85
ORD2000,2024-02-1,C93861,Monitor,3,49.14,831,Online,Returned,TRK48234,7,SAVE10,Email,147.42
ORD2000,2024-10-1,C38785,Monitor,2,180.5,179,Debit Card,Pending,TRK20419,6,FREESHIP,Referral,361
ORD2000,2023-08-3,C88348,Laptop,3,201.49,903,Credit Car ,Returned,TRK81913,4,FREESHIP,Facebook,604.47
ORD2000,2023-03-2,C98474,Tablet,2,393.33,980,Debit Card,Pending,TRK79186,3,SAVE10,Instagram,786.66
ORD2000,2023-07-1,C39416,Printer,1,473.96,942,Cash,Delivered,TRK54930,3,,Google,473.96
ORD2000,2023-01-2,C28976,Printer,2,533.81,914,Credit Car ,Pending,TRK13194,3,FREESHIP,Email,1067.62
ORD2000,2024-03-0,C60672,Tablet,1,423.4,382,Debit Card,Shipped,TRK11972,3,,Referral,423.4
ORD2000,2025-03-2,C84329,Desk,1,431.44,891,Gift Card,Pending,TRK65191,3,SAVE10,Facebook,431.44
ORD2000,2023-01-2,C14552,Monitor,5,224,273,Cash,Returned,TRK59101,9,SAVE10,Google,1120
ORD2000,2023-05-0,C54829,Chair,5,62.51,587,Cash,Pending,TRK16718,9,WINTER15,Instagram,312.55
ORD2000,2024-11-1,C99023,Monitor,4,342.95,569,Cash,Delivered,TRK52646,6,,Google,1371.8
ORD2000,2023-01-2,C34416,Monitor,2,49.62,633,Online,Pending,TRK75937,2,SAVE10,Google,99.24
ORD2000,2025-04-0,C42372,Phone,4,273.25,755,Debit Card,Cancelled,TRK36168,5,FREESHIP,Referral,1093
ORD2000,2024-10-3,C17470,Laptop,2,230.95,956,Online,Delivered,TRK28775,3,WINTER15,Referral,461.9
ORD2000,2024-07-2,C42577,Monitor,1,399.98,709,Debit Card,Delivered,TRK69423,3,WINTER15,Email,399.98
ORD2000,2024-03-0,C21944,Laptop,5,59.55,296,Online,Delivered,TRK80276,6,,Referral,297.75
ORD2000,2024-02-2,C97593,Printer,1,472.74,881,Online,Shipped,TRK89117,6,WINTER15,Google,472.74
ORD2000,2023-11-2,C59823,Phone,4,160.07,568,Online,Pending,TRK65895,5,,Email,640.28
ORD2000,2024-09-2,C33260,Desk,3,423.53,930,Credit Car ,Delivered,TRK59744,6,SAVE10,Referral,1270.59
ORD2000,2025-03-2,C44267,Monitor,2,426.7,895,Online,Pending,TRK54751,5,SAVE10,Referral,853.4
ORD2000,2023-06-3,C26445,Chair,3,500.08,996,Debit Card,Returned,TRK31229,6,,Facebook,1500.24
ORD2000,2023-05-0,C12388,Tablet,5,536.72,830,Cash,Delivered,TRK99261,10,,Email,2683.6
ORD2000,2023-06-0,C52184,Chair,1,162.77,912,Online,Cancelled,TRK73312,4,WINTER15,Facebook,162.77
ORD2000,2023-01-0,C67195,Chair,4,576.52,926,Credit Car ,Pending,TRK55467,5,WINTER15,Facebook,2306.08
ORD2000,2024-12-0,C50304,Monitor,2,465.15,128,Online,Shipped,TRK46850,2,SAVE10,Facebook,930.3
ORD2000,2025-05-0,C59337,Laptop,2,534.43,465,Debit Card,Pending,TRK50961,5,,Facebook,1068.86
ORD2000,2024-10-1,C10054,Laptop,2,76.74,409,Cash,Returned,TRK94005,7,SAVE10,Instagram,153.48
ORD2000,2024-12-1,C15924,Laptop,1,245.89,549,Debit Card,Delivered,TRK14835,3,SAVE10,Google,245.89
ORD2000,2025-02-2,C96664,Printer,3,256.46,666,Credit Car ,Delivered,TRK85508,4,SAVE10,Referral,769.38
ORD20004,2023-08-2,C84766,Desk,2,344.02,267,Online,Delivered,TRK78967,4,FREESHIP,Instagram,688.04
ORD20004,2023-12-0,C20212,Monitor,3,611.45,657,Gift Card,Pending,TRK69733,4,FREESHIP,Instagram,1834.35
ORD20004,2024-05-0,C28712,Printer,2,151.66,980,Cash,Cancelled,TRK40772,6,,Instagram,303.32
ORD20004,2023-12-1,C60572,Chair,3,499.21,871,Online,Cancelled,TRK20351,8,,Instagram,1497.63
ORD20004,2025-04-2,C73225,Phone,2,550.18,996,Gift Card,Returned,TRK73848,3,FREESHIP,Referral,1100.36
ORD20004,2024-02-1,C17388,Chair,1,317.25,157,Debit Card,Returned,TRK47077,1,SAVE10,Facebook,317.25
ORD20004,2024-06-2,C43212,Monitor,4,550.14,223,Debit Card,Pending,TRK25100,4,FREESHIP,Instagram,2200.56
ORD20004,2023-07-1,C38134,Desk,2,209.94,323,Credit Car ,Returned,TRK42450,3,FREESHIP,Email,419.88
ORD20004,2023-08-2,C12408,Monitor,2,80.77,464,Debit Card,Shipped,TRK38938,4,,Google,161.54
ORD20004,2023-10-0,C11985,Printer,1,30.44,633,Credit Car ,Shipped,TRK53272,1,SAVE10,Email,30.44
